"","Counts","Word","cDis"
"1",12,"!﻿",12
"2",9,"#0",9
"3",8,"#01",8
"4",6,"#039",6
"5",2070,"#1",2070
"6",129,"#10",129
"7",40,"#100",40
"8",10,"#1000",10
"9",5,"#100aday",4.26751071846172
"10",7,"#100factsaboutm",7
"11",5,"#100ozchalleng",4.26751071846172
"12",5,"#100thingsih",4.26751071846172
"13",20,"#100thingsilov",20
"14",8,"#101",8
"15",5,"#103",4.26751071846172
"16",6,"#104",6
"17",6,"#105",6
"18",10,"#106",10
"19",6,"#108",6
"20",12,"#10basicfactsaboutm",12
"21",5,"#10day",4.26751071846172
"22",5,"#10facebooktip",4.26751071846172
"23",49,"#10factsaboutm",49
"24",6,"#10favouriteband",6
"25",18,"#10hourswithmikemurdock",18
"26",5,"#10thingsaboutm",4.26751071846172
"27",13,"#10thingsaboutmyself",13
"28",32,"#10thingsifindattract",32
"29",9,"#10thingsih",9
"30",5,"#10thingsihateaboutyou",4.26751071846172
"31",8,"#10thingsiwanttobuy",8
"32",10,"#10thingsiwanttohappen",10
"33",30,"#10thingsthatannoym",30
"34",5,"#10thingsthatareattract",4.26751071846172
"35",6,"#10thingsthatilik",6
"36",5,"#10thingsyoucoulddoform",4.26751071846172
"37",6,"#10waystodi",6
"38",97,"#11",97
"39",6,"#110",6
"40",6,"#111",6
"41",7,"#1111",7
"42",8,"#1117",8
"43",5,"#112",4.26751071846172
"44",7,"#116",7
"45",8,"#117",8
"46",10,"#11millionfollow",10
"47",77,"#12",77
"48",6,"#127",6
"49",37,"#12ntc",37
"50",58,"#13",58
"51",5,"#132",4.26751071846172
"52",5,"#136",4.26751071846172
"53",57,"#14",57
"54",8,"#140",8
"55",36,"#140cuse",36
"56",7,"#140mtl",7
"57",5,"#143",4.26751071846172
"58",5,"#144",4.26751071846172
"59",64,"#15",64
"60",9,"#150",9
"61",10,"#1503",10
"62",5,"#152",4.26751071846172
"63",15,"#15peopleilov",15
"64",37,"#16",37
"65",38,"#17",38
"66",48,"#18",48
"67",10,"#18conf",10
"68",36,"#19",36
"69",24,"#1940census",24
"70",8,"#1day",8
"71",11,"#1dbostonconcert",11
"72",10,"#1dfact",10
"73",6,"#1dfamili",6
"74",7,"#1dmix933",7
"75",10,"#1dnewenglandcontest",10
"76",16,"#1dtourusa",16
"77",10,"#1dvdform",10
"78",6,"#1girl",6
"79",8,"#1k1hr",8
"80",10,"#1ofmyflaw",10
"81",8,"#1omf",8
"82",5,"#1s",4.26751071846172
"83",5,"#1thingifindsexi",4.26751071846172
"84",5,"#1waytopissmeoff",4.26751071846172
"85",18,"#1wish",18
"86",1066,"#2",1066
"87",35,"#20",35
"88",11,"#200",11
"89",15,"#2011",15
"90",6,"#2011asa",6
"91",25,"#2011icf",25
"92",6,"#2011in3word",6
"93",88,"#2012",88
"94",6,"#2012augrad",6
"95",23,"#2012c19",23
"96",10,"#2012isaustinsyear",10
"97",6,"#2012tcc",6
"98",39,"#20factsaboutm",39
"99",6,"#20peoplethatilov",6
"100",8,"#20songsilov",8
"101",262,"#20thingsaboutm",262
"102",10,"#20thingsilov",10
"103",40,"#21",40
"104",5,"#217",4.26751071846172
"105",24,"#21cradio",24
"106",24,"#21jumpstreet",24
"107",28,"#22",28
"108",27,"#23",27
"109",10,"#239daysliv",10
"110",45,"#24",45
"111",14,"#24hour",14
"112",36,"#25",36
"113",25,"#26",25
"114",18,"#26hour",18
"115",22,"#27",22
"116",21,"#28",21
"117",14,"#29",14
"118",9,"#2chainz",9
"119",8,"#2day",8
"120",16,"#2daylattefast",16
"121",5,"#2k12",4.26751071846172
"122",6,"#2omf",6
"123",14,"#2peoplethatbelongtogeth",14
"124",19,"#2thingsiappreci",19
"125",5,"#2weekchalleng",4.26751071846172
"126",5,"#2wordsasianpeoplefear",4.26751071846172
"127",553,"#3",553
"128",19,"#30",19
"129",15,"#300",15
"130",5,"#305",4.26751071846172
"131",35,"#30rock",35
"132",7,"#30thingsaboutm",7
"133",9,"#30waystomakeagirlsmil",9
"134",18,"#31",18
"135",5,"#313dlove",4.26751071846172
"136",25,"#32",25
"137",20,"#33",20
"138",19,"#34",19
"139",21,"#35",21
"140",5,"#350",4.26751071846172
"141",12,"#36",12
"142",15,"#37",15
"143",7,"#38",7
"144",1096,"#39",1096
"145",18,"#3d",18
"146",23,"#3day",23
"147",6,"#3screenmin",6
"148",11,"#3word",11
"149",154,"#3wordsforyou",154
"150",84,"#3wordsofadvic",84
